siteID,transectID,crop,grass,woody,developed,barren,shadows,water,water_shadows,water_barren,water_grass,barren_shadows
all1,tall1a,1368,97,12,46,20,11,,,,,
all2,tall2a,1417,72,10,44,,10,,,,,
app1,tapp1a,1226,185,35,21,68,,5,13,,,
arm1,tarm1b,918,547,31,15,24,17,,,,,
arm2,tarm2a,953,528,17,15,23,17,,,,,
bcr1,tbcr1a,1353,162,5,22,7,4,,,,,
bcr2,tbcr2a,1374,152,5,18,,4,,,,,
ber1,tber1a,1017,298,176,15,,,11,35,,,
ber3,tber3a,996,320,169,19,,,10,39,,,
byd1,tbyd1a,1352,139,6,39,10,6,,,,,
byd2,tbyd2a,1261,214,9,32,29,8,,,,,
cra1,tcra1a,1330,183,10,18,4,8,,,,,
cre1,tcre1a,196,906,351,24,,38,18,,10,10,
dav1,tdav1a,1304,138,11,79,6,7,,7,,,
dun2,tdun2a,736,480,259,37,,,10,30,,,
dun3,tdun3a,781,412,281,42,,,8,28,,,
fis1,tfis1a,1388,115,6,19,,21,,,,,4
gro1,tgro1a,1290,164,38,29,23,,,9,,,
gro2,tgro2a,1311,153,26,28,27,,,7,,,
har1,thar1a,1091,237,89,42,64,31,,,,,
jon1,tjon1a,1109,281,75,26,12,40,10,,,,
nie1,tnie1a,1152,235,84,28,9,36,8,,,,
nkn1,tnkn1a,857,572,57,21,22,,23,,,,
nkn2,tnkn2a,790,658,48,22,14,,21,,,,
nor1,tnor1b,958,397,67,38,46,31,16,,,,
pio1,tpio1a,388,659,146,260,50,,25,25,,,
pio2,tpio2a,461,628,103,247,65,,25,25,,,
prd1,tprd1a,864,342,104,167,48,21,7,,,,
prd2,tprd2a,893,357,87,125,69,21,,,,,
pre1,tpre1a,1361,121,21,23,15,6,6,,,,
pre2,tpre2a,1365,119,17,24,15,6,7,,,,
pre3,tpre3a,1352,142,9,24,11,6,8,,,,
pre4,tpre4a,1319,172,11,22,15,6,7,,,,
pre5,tpre5a,1323,176,9,23,9,5,7,,,,
pre6,tpre6a,1344,155,8,23,10,5,8,,,,
pre7,tpre7a,1317,168,15,24,17,6,6,,,,
pre8,tpre8a,1338,161,8,23,10,5,7,,,,
sie1,tsie1a,1417,76,10,24,18,7,,,,,
sut2,tsut2a,1350,157,9,22,11,3,,,,,
tie1,ttie1a,1418,77,7,20,25,5,,,,,
uth1,tuth1a,1212,319,13,,,,,9,,,
uth2,tuth2a,1188,322,9,27,,,,7,,,
uth3,tuth3b,1200,264,,41,,13,35,,,,
van1,tvan1a,1929,310,102,,,15,10,,,,
ver1,tver1a,619,599,218,18,41,30,18,,9,,
vos1,tvos1a,1376,119,4,13,33,5,3,,,,
