"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,1,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"partridge pea",2,0,0,2,0,0,0,0,0,1
"common dandelion",4,1,0,4,10,14,7,10,3,2
"white clover",170,30,90,80,100,120,80,90,60,60
"red clover",59,11,10,0,30,0,5,16,0,0
"alfalfa",4,15,22,0,36,11,31,33,92,70
"prickly sow thistle",0,0,0,0,12,0,0,0,0,0
"black medic",0,0,0,0,0,0,0,0,10,0
