"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"red clover",1,5,3,14,0,4,4,4,0,0
"white clover",136,42,0,230,35,55,27,12,3,14
"queen annes lace",0,36,3,0,9,11,5,14,4,3
"eastern daisy fleabane",0,22,17,3,1,1,0,0,1,0
"birdsfoot trefoil",0,0,146,22,14,0,0,0,0,0
"black eyed susan",0,0,0,0,1,2,0,0,0,0
"common dandelion",0,0,0,0,0,0,0,0,1,0
