"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"pineapple weed",3,5,0,0,0,0,0,0,0,0
"eastern black nightshade",0,0,2,4,3,4,7,0,0,0
"white clover",26,22,36,24,5,1,0,1,9,41
"musk thistle",1,2,1,3,0,1,2,11,1,4
"red clover",3,4,0,1,4,1,2,0,1,0
"common mullein",1,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",1,0,0,0,0,0,0,0,4,0
"black medic",0,0,29,0,0,32,3,16,9,2
"black eyed susan",0,0,0,0,0,0,0,0,1,2
