"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"alfalfa",11,0,0,0,0,0,0,5,0,4
"red clover",36,78,11,32,13,24,48,29,21,6
"white clover",31,8,2,5,0,13,19,4,13,37
"smartweed",2,4,4,0,0,0,0,0,0,0
"musk thistle",0,3,0,0,0,0,0,1,2,0
"partridge pea",0,0,0,0,0,1,0,0,0,0
"blue vervain",0,0,0,0,0,0,1,0,0,0
"common dandelion",0,0,0,0,0,0,1,1,1,1
"black eyed susan",0,0,0,0,0,0,0,2,0,0
