"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"milkweed strip: common milkweed strip",0,0,0,0,0,0,0,0,0,0
"swamp smartweed",402,110,230,95,45,35,10,30,430,160
"queen annes lace",0,1,0,0,4,12,4,0,1,2
"red clover",2,0,55,26,83,105,65,330,90,235
"white clover",6,3,0,4,2,17,3,17,100,25
"black eyed susan",0,7,3,3,1,4,0,6,6,10
"hawkweed",0,200,60,0,0,60,0,0,0,0
"musk thistle",0,3,0,0,0,0,0,0,0,0
"common yarrow",7,0,0,0,0,0,0,0,0,0
"venice mallow",0,1,0,0,0,0,0,0,0,0
"birdsfoot trefoil",0,0,0,0,24,90,35,115,110,1140
"chicory",0,0,0,0,19,27,0,7,0,2
"partridge pea",0,0,0,0,0,0,1,0,0,0
"shepherds purse",0,0,0,0,0,0,3,6,0,0
"common cinquefoil",0,0,0,0,0,0,0,1,0,0
