"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"blue vervain",0,1,45,0,0,1,8,0,7,28
"pennsylvania smartweed",110,100,0,61,45,12,16,30,37,270
"birdsfoot trefoil",28,11,19,7,7,42,8,50,11,161
"black eyed susan",28,10,27,7,3,15,3,11,4,2
"white clover",40,25,62,43,93,42,2,8,42,41
"red clover",410,176,54,18,49,69,161,100,66,13
"partridge pea",0,0,0,5,3,0,0,1,0,4
"queen annes lace",51,0,0,23,0,1,1,0,0,1
"hoary vervain",0,12,0,0,0,0,0,0,1,0
"common yarrow",123,18,0,13,30,20,27,35,0,0
"common cinquefoil",0,0,0,0,1,5,0,6,0,0
"chicory",0,0,0,0,0,8,0,0,0,0
"yellow coneflower",0,0,0,6,0,0,0,0,0,0
