"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"white clover",77,43,68,56,66,37,45,20,26,32
"black eyed susan",1,2,0,0,0,4,5,1,1,0
"red clover",21,17,0,6,3,0,21,5,0,0
"partridge pea",8,0,0,5,0,0,0,6,0,0
"black medic",0,0,0,100,0,0,0,0,4,10
"common dandelion",0,0,0,0,1,2,0,0,0,0
"alfalfa",0,0,0,0,0,0,10,0,10,6
"hoary vervain",0,0,0,0,0,0,0,0,0,1
