"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,1,4,1,2,0,12
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"black eyed susan",0,0,1,0,0,0,0,0,0,0
"partridge pea",0,0,0,5,0,0,0,1,0,0
"alfalfa",0,0,0,5,5,0,0,0,0,0
"musk thistle",0,0,0,0,1,0,0,0,0,0
"canada thistle",0,0,0,0,2,51,68,54,1,45
"black medic",0,0,0,0,0,0,50,0,0,0
"buffalobur nightshade",0,0,0,0,0,0,0,17,0,0
"ox eye sunflower",0,0,0,0,0,0,0,3,0,0
"red clover",0,0,0,0,0,0,0,4,0,0
