"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",8,0,0,0,5,0,0,0,0,0
"queen annes lace",2,0,0,0,0,0,0,2,0,2
"white clover",2,2,0,7,6,0,0,0,0,0
"red clover",4,1,0,0,0,0,0,0,1,2
"partridge pea",3,0,4,0,3,0,0,0,0,0
"smartweed",0,7,0,0,0,0,0,0,0,0
"musk thistle",0,0,1,6,0,0,1,1,1,2
"brown eyed susan",0,0,1,1,0,0,0,0,0,0
"black medic",0,0,0,0,0,0,3,0,0,0
