"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"milkweed strip: common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"pennsylvania smartweed",210,44,120,5,50,45,0,30,197,46
"birdsfoot trefoil",4,0,11,21,1,12,7,21,20,75
"white clover",8,0,3,1,4,0,0,4,13,1
"red clover",0,24,0,9,17,5,10,14,0,9
"queen annes lace",0,0,0,0,0,44,47,0,2,12
"black eyed susan",0,0,0,0,0,1,0,3,0,0
"partridge pea",0,0,0,0,0,0,0,2,0,0
