"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"red clover",170,6,50,120,300,350,250,450,300,0
"eastern daisy fleabane",70,200,200,100,70,30,0,250,150,0
"black eyed susan",11,0,3,0,10,0,50,0,4,0
"wild parsnip",5,2,0,0,6,0,0,7,0,0
"ox eye daisy",20,0,0,0,0,0,0,0,0,0
"deptford pink",30,0,0,10,60,0,10,0,0,0
"birdsfoot trefoil",0,0,0,0,9,0,0,0,0,0
"venice mallow",0,0,0,0,0,2,0,0,0,0
"yellow sweet clover",0,0,0,0,10,10,180,120,120,100
