"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",10,28,2,3,3,30,0,0,30,3
"white clover",40,300,400,275,475,500,600,600,625,600
"birdsfoot trefoil",2,2,0,0,4,0,0,0,9,4
"red clover",20,10,4,2,15,1,0,0,0,0
"prairie cinquefoil",3,1,0,0,0,0,0,0,0,0
"musk thistle",0,0,0,5,0,1,1,7,3,5
"common dandelion",0,0,0,0,0,1,0,0,0,1
