"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,2
"swamp milkweed ramet",0,0,0,0,0,0,0,1
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"eastern daisy fleabane",300,325,230,70,30,2000,275,120
"yellow sweet clover",23,95,125,45,40,2,0
"red clover",15,85,103,69,160,195,320,80
"black eyed susan",0,3,2,4,24,0,0,0
"musk thistle",0,0,0,0,2,0,0,0
"foxglove beardtongue",0,0,0,9,0,0,0,0
"white clover",0,0,0,1,2,0,0,0
"black medic",0,0,0,0,0,2,3,0
"lead plant",0,0,0,0,0,0,1,0
