"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"red clover",416,1495,2063,262,287,255,200,115,322,400
"white clover",83,0,0,11,113,60,74,8,111,110
"alfalfa",397,45,0,0,10,0,18,57,35,0
"wild parsnip",4,2,0,0,0,0,0,0,0,0
"golden alexanders",0,0,5,0,0,0,0,0,0,0
"foxglove beardtongue",0,0,1,0,0,0,0,0,0,0
"yellow sweet clover",0,0,0,0,0,0,0,0,13,0
