"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"red clover",628,206,650,353,480,178
"white clover",3,5,0,4,9,1
"yellow sweet clover",0,0,29,13,6,19
"birdsfoot trefoil",26,0,0,0,0,0
"foxglove beardtongue",0,12,0,3,0,0
"golden alexanders",0,0,1,0,0,0
"eastern daisy fleabane",0,0,16,107,219,150
"white sweet clover",0,0,14,0,0,0
"black eyed susan",0,0,0,1,1,0
"common cinquefoil"0,0,0,0,1,0
"musk thistle",0,0,0,0,0,1
