"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"red clover",422,455,120,168,181,294,115,56,215,147
"birdsfoot trefoil",96,75,76,19,28,85,20,11,4,129
"common yarrow",6,0,14,4,0,0,11,12,0,0
"white clover",37,95,171,280,206,142,39,0,55,131
"yellow sweet clover",0,3,13,12,15,9,0,0,0,0
"foxglove beardtongue",0,0,0,0,0,0,16,32,8,0
"prairie cinquefoil",0,0,0,0,0,0,0,0,1,0
