"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,1,1,0,0,0,0,0,1,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"alfalfa",66,43,10,0,0,0,0,0,5,6
"white clover",190,300,275,115,300,250,300,175,500,101
"red clover",11,48,88,25,0,5,20,0,0,0
"yellow sweet clover",111,30,160,40,10,0,0,150,0,30
"prairie cinquefoil",1,0,0,0,0,0,0,0,0,0
"white sweet clover",0,0,10,0,0,0,0,0,0,0
"wild parsnip",0,0,0,5,2,19,0,0,0,0
"pale purple coneflower",0,0,0,0,0,1,0,0,0,0
"common dandelion",0,0,0,0,0,0,0,0,2,2
"foxglove beardtongue",0,0,0,0,0,0,5,0,5,0
