"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"ox eye sunflower",3,0,0,0,0,0,0,0
"white clover",315,256,80,110,130,110,310,260
"common cinquefoil",3,5,0,0,16,17,8,18
"nodding stickseed",5,4,0,0,0,0,0,0
"hoary vervain",0,2,0,0,0,0,0,0
"eastern daisy fleabane",0,1,0,0,1,0,0,0
"yellow sweet clover",0,0,6,0,0,0,0,0
"foxglove beardtongue",0,0,0,8,10,14,0,0
"common dandelion",0,0,0,1,0,0,0,1
"bog yellow-cress",0,0,0,0,3,3,15,1
"red clover",0,0,0,0,0,20,30,0
"bladder campion",0,0,0,0,0,8,0,0
