"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",270,18,0,0,0,0,0,0,0,0
"musk thistle",13,25,0,5,25,0,0,2,0,0
"white clover",0,70,0,0,0,0,20,20,20,0
"foxglove beardtongue",0,38,6,0,0,7,2,6,0,17
"common dandelion",0,0,2,1,5,3,4,1,4,1
"white sweet clover",0,0,0,0,9,0,0,0,0,0
"common cinquefoil",0,0,0,0,0,13,0,0,0,8
"yelllow sweet clover",0,0,0,0,0,7,0,0,0,0
"nodding stickseed",0,0,0,0,0,0,0,9,0,0
"pale purple coneflower",0,0,0,0,0,0,0,1,0,1
