"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"white clover",200,190,220,190,220,26,280,280,320,290
"foxglove beardtongue",5,0,4,18,3,0,6,35,6,0
"common dandelion",1,1,2,1,1,0,0,0,0,0
"common cinquefoil",9,35,0,0,0,0,0,15,5,0
"bog yellow-cress",0,1,0,0,0,0,0,0,0,1
"bladder campion",0,0,0,0,0,64,1,0,0,0
"white sweet clover",0,0,0,0,0,0,3,0,0,0
