"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,,0,0,0,0,1,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",15,19,23,15,3,10,14,4,26,32
"wild bergamot",4,32,62,3,13,4,2,34,20,29
"white clover",255,350,275,155,320,575,470,450,500,550
"red clover",145,10,0,35,0,10,40,0,0,30
"ox eye sunflower",6,11,4,0,12,37,0,7,15,7
"alfalfa",20,0,0,15,0,1,7,20,25,40
"black eyed susan",0,0,1,0,0,0,0,0,0,0
"foxglove beardtongue",0,0,0,0,0,0,0,0,5,0
"hoary vervain",0,0,0,0,0,0,0,0,4,11
