"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",1,1,3,1,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"canada thistle",6,8,4,25,16
"yellow coneflower",68,40,20,20,4
"blue vervain",256,2626,1660,1280,870
"virginia mountain mint",6,0,0,0,0
"ox eye sunflower",49,75,124,28,5
"wild bergamot",21,11,7,37,97
"hoary vervain",3,2,46,77,4
"white sweet clover",23,34,4,5,2
"prairie blazing star",0,0,0,1,0
"wild parsnip",0,0,0,0,5
"common cinquefoil",0,3,7,2,0
"american bellflower",0,5,0,0,0
"yellow sweet clover",0,0,0,2,0
"common evening primrose",0,0,0,5,0
