"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",1,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"yellow coneflower",28,41,45,55,90,60,50,120
"eastern daisy fleabane",27,5,2,0,0,8,0,0
"white clover",5,0,5,100,80,80,90,40
"common cinquefoil",5,60,80,70,10,10,10,0
"queen annes lace",25,0,0,0,0,0,0,0
"wild bergamot",1,0,0,4,7,35,4,5
"black eyed susan",0,0,11,0,0,0,11,0
"ox eye sunflower",0,0,0,15,6,7,1,17
"prostrate vervain",0,0,0,13,170,0,0,50
"black medic",0,0,0,40,35,0,0,20
"white sweet clover",0,0,0,0,0,0,8,6
