"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,1,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",15,11,120,50,60,85,150,190,45,30
"birdsfoot trefoil",300,250,300,40,350,200,550,30,40,240
"red clover",130,170,95,80,120,130,40,30,25,55
"white clover",10,20,30,30,100,70,0,0,30,40
"ox eye sunflower",12,4,28,5,1,10,22,28,18,20
"queen annes lace",10,0,0,5,5,0,0,0,20,0
"wild bergamot",0,9,30,30,0,40,135,0,25,25
"common cinquefoil",0,0,4,0,20,10,5,0,0,0
"eastern daisy fleabane",0,0,0,0,0,1,0,0,0,0
"common yarrow",0,0,20,5,0,0,0,0,0,0
"blue vervain",0,0,0,0,0,0,0,65,0,100
"black eyed susan",0,0,0,0,0,0,0,0,5,0
