"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"eastern daisy fleabane",39,3,5,3,0,0,0
"red clover",79,77,19,60,17,111,77
"yellow coneflower",8,0,3,70,41,48,7
"blue vervain",5,0,0,0,0,0,0
"ox eye sunflower",6,1,4,4,0,6,9
"common cinquefoil",2,0,3,6,18,139,73
"white clover",16,31,40,30,0,7,0
"hoary vervain",1,0,0,0,3,0,0
"white sweet clover",0,15,0,0,0,0,0
"purple prairie clover",0,0,1,0,0,0,0
