"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,1,0
"swamp milkweed ramet",0,0,0,0,0,0,2,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"red clover",23,13,32,45,11,63,75,260
"black eyed susan",3,1,12,21,14,1,6,0
"yellow sweet clover",0,15,0,0,0,0,0,0
"eastern daisy fleabane",0,60,5,190,0,0,0,25
"yellow coneflower",0,0,4,47,54,10,60,2
"ox eye sunflower",0,0,2,2,1,0,2,5
"common yarrow",0,0,0,23,0,0,20,20
"partridge pea",0,0,0,5,5,4,4,1
"pale purple coneflower",0,0,0,2,1,0,1,0
"whorled milkweed",0,0,0,0,0,220,354,0
