"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,1,0,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"black eyed susan",1,0,17,42,95,35,8,10,0,31
"yellow coneflower",0,3,7,11,4,40,40,6,20,25
"wild bergamot",0,0,5,6,3,0,18,0,0,1
"partridge pea",0,0,0,0,4,0,0,0,0,0
"hoary vervain",0,0,0,0,0,1,0,0,4,3
"ox eye sunflower",0,0,0,0,0,7,6,0,13,6
"purple prairie clover",0,0,0,0,0,0,1,0,0,3
"common evening primrose",0,0,0,0,0,0,0,2,0,0
"yellow sweet clover",0,0,0,0,0,0,0,0,20,0
