"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"white clover",140,190,320,180,120,130,80,100,80,100
"common mullein",21,5,7,1,4,0,0,0,0,0
"eastern daisy fleabane",9,6,3,0,2,2,0,0,20,14
"yellow coneflower",11,0,10,3,15,0,0,0,0,1
"ox eye sunflower",8,0,0,5,5,0,2,0,0,0
"wild parsnip",18,20,0,0,0,0,0,0,0,0
"queen annes lace",1,0,2,0,0,0,0,0,0,4
"musk thistle",1,5,0,1,0,0,0,0,0,0
"stinging nettle",39,4,0,5,22,0,0,0,0,0
"hoary vervain",10,3,0,0,0,0,0,0,0,0
"red clover",5,1,0,0,5,0,0,1,1,5
"black eyed susan",0,0,5,0,5,0,0,0,0,0
"carolina horse nettle",0,0,0,3,3,0,0,0,0,0
"catnip",0,0,0,0,20,0,0,0,0,0
"common dandelion",0,0,0,0,1,0,0,0,0,0
"black medic",0,0,0,0,0,0,100,3,1,25
"field pennycress",0,0,0,0,0,0,13,0,0,0
