"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,1,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"yellow coneflower",66,40,50,105,80,40,55,73
"red colver",21,50,20,15,35,65,120,140
"ox eye sunflower",27,0,25,23,18,18,3,15
"black eyed susan",20,0,0,20,40,30,25,5
"eastern daisy fleabane",123,220,52,35,75,130,30,35
"yellow sweet clover",30,0,0,0,0,0,0,0
"wild bergamot",0,3,3,5,20,15,2,5
"hoary vervain",0,0,0,0,0,0,0,2
"partridge pea",0,0,0,0,0,0,0,5
"virginia mountain mint",0,0,0,0,0,0,0,20
