"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,2,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",125,120,180,140,190,130,120,200,210,160
"queen annes lace",160,110,60,20,80,30,5,85,40,55
"red clover",10,85,25,40,20,20,5,35,40,25
"birdfoot trefoil",45,50,15,60,0,40,0,10,10,43
"white clover",90,0,50,100,50,0,0,10,20,20
"self heals",0,40,0,0,30,0,0,0,0,20
"black eyed susan",0,1,10,0,0,0,0,5,0,0
"yellow coneflower",0,0,0,0,0,3,0,0,0,0
"ox eye sunflower",0,0,0,0,0,3,0,0,1,0
"partridge pea",0,0,0,0,0,0,7,0,5,0
