"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,2,0,0,0
"swamp milkweed ramet",0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0
"field thistle",1,2,1,0,1
"chicory",12,10,16,14,10
"eastern daisy fleabane",0,0,0,0,125
"ox eye sunflower",7,0,12,2,12
"yellow sweet clover",20,0,5,0,10
"yellow coneflower",0,0,0,25,70
"red clover",16,15,0,2,5
"wild parsnip",5,7,5,5,0
"cup plant",0,0,3,0,0
"common evening primrose",0,0,0,2,0
"white sweet clover",0,0,0,0,15
"alfalfa",0,0,0,0,5
