"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,1,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",1,0,0,0,0,0,0,0,0,0
"yellow coneflower",175,210,110,185,105,165,110,195,235,120
"ox eye sunflower",45,60,43,50,35,110,70,60,10,125
"red clover",10,0,0,50,1,10,5,5,0,20
"butterfly milkweed",9,0,0,0,0,0,0,0,0,0
"foxglove beardtongue",2,0,0,0,0,0,0,0,0,0
"white clover",0,10,20,0,40,20,0,0,5,0
"alfalfa",0,2,0,0,2,12,13,17,14,26
"hoary vervain",0,0,0,0,0,0,0,0,6,7
