"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"birdsfoot trefoil",6,17,0,113,192,70,43,86,166,160
"white clover",24,0,21,0,0,1,2,0,0,0
"canada thistle",1,3,2,0,0,0,0,0,0,0
"red clover",0,3,18,19,96,57,225,58,5,7
"yellow coneflower",0,0,0,78,171,161,97,165,98,53
"ox eye sunflower",0,0,0,0,48,11,53,18,23,28
"eastern daisy fleabane",0,0,0,0,0,2,0,0,0,0
"plantain",0,0,0,0,0,0,6,0,0,0
"common cinquefoil",0,0,0,0,0,0,4,0,0,0
"blue vervain",0,0,0,0,0,0,0,115,50,0
"bull thistle",0,0,0,0,0,0,0,3,2,0
"queen annes lace",0,0,0,0,0,0,0,0,32,0
