"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"red clover",250,28,35,23,31,28,50,0,30,30
"queen annes lace",27,0,5,0,0,5,0,7,15,0
"ox eye sunflower",35,24,30,5,0,18,20,30,35,30
"birdsfoot trefoil",30,40,88,15,13,25,20,0,0,0
"yellow coneflower",70,110,73,112,30,70,100,120,70,50
"eastern daisy fleabane",0,0,0,10,0,0,0,0,0,0
"blue vervain",0,0,0,0,0,0,60,40,15,30
"bull thistle",0,0,0,0,0,0,0,0,3,0
