"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",1,0,0,0,0,1
"swamp milkweed ramet",0,0,0,0,1,0
"butterfly milkweed ramet",0,0,0,0,0,0
"yellow coneflower",185,20,40,135,0,70
"ox eye sunflower",20,5,100,53,9,11
"pennsylvania smartweed",0,120,0,0,140,310
"wild cucumber",0,0,61,0,90,0
"wild bergamot",0,0,5,6,0,0
"canada thistle",0,0,10,1,0,0
"wild mustard",0,0,80,0,0,0
"red clover",0,0,0,1,28,28
"morning glory",0,0,0,0,4,1
"swamp milkweed",0,0,0,0,5,0
"prickly lettuce",0,0,0,0,0,35
