"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",1,0,0,4,2,3,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"brown eyed susan",10,0,0,0,0,0,0,0,0,0
"white clover",25,15,20,0,0,0,0,0,0,0
"yellow coneflower",3,0,0,65,100,85,43,65,30,60
"common mullein",1,0,0,3,0,4,0,0,0,0
"white vervain",20,0,0,0,0,0,0,0,70,0
"ox eye sunflower",0,3,3,1,5,10,5,1,0,7
"partridge pea",0,0,0,5,0,2,0,11,0,7
"marestail",0,0,0,45,100,23,50,62,40,180
"common cinquefoil",0,0,0,0,0,7,0,0,0,0
"panicledleaf tick trefoil",0,0,0,0,0,10,0,0,0,0
