"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,1,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",150,37,2,0,0,0,0,0,0,0
"musk thistle",14,6,1,0,0,0,0,11,0,0
"yellow coneflower",170,105,130,120,135,180,200,160,150,150
"ox eye sunflower",30,40,25,50,55,35,25,55,55,35
"common cinquefoil",30,5,0,15,40,0,0,5,20,15
"white clover",10,5,0,0,0,2,0,0,0,0
"pennsylvania smartweed",0,60,0,16,60,20,5,0,0,2
"common dandelion",0,2,0,3,5,2,0,0,0,0
"prickly lettuce",0,0,11,30,0,45,35,0,0,0
"hoary vervain",0,0,2,0,15,7,3,0,3,1
"partridge pea",0,0,0,0,0,2,0,0,0,0
"red clover",0,0,0,0,0,0,4,0,0,0
"field thistle"0,0,0,0,0,0,0,0,1,2
