"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",1,1,0,0,0,0,0,1,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,1
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",120,130,75,190,170,150,105,110,200,130
"ox eye sunflower",40,115,95,140,200,200,75,90,100,10
"hoary vervain",4,0,1,3,0,2,1,0,0,0
"common cinquefoil",10,65,0,25,20,0,45,130,35,10
"white clover",0,70,30,30,15,15,25,35,40,35
"pennsylvania smartweed",0,10,11,0,0,20,6,0,0,160
"blue vervain",0,20,50,10,25,20,10,35,10,0
"canada goldenrod",0,4,0,0,0,0,0,0,0,2
"musk thistle",0,0,0,10,0,0,0,0,0,0
"yellow sweet clover",0,0,0,0,4,0,0,0,0,0
"white sweet clover",0,0,0,0,0,0,0,4,0,0
"stiff goldenrod",0,0,0,0,0,0,0,0,3,0
