"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"yellow coneflower",50,65,50,50,0,30,15,55
"white heath aster",70,40,0,1,0,0,0,0
"canada goldenrod",0,1,0,0,0,0,0,0
"common cinquefoil",0,0,10,35,0,0,0,0
"ox eye sunflower",0,0,1,12,0,5,0,22
"eastern daisy fleabane",0,0,0,7,0,0,0,0
"white clover",0,0,0,0,2,2,0,0
"black medic",0,0,0,0,0,10,0,0
"white sweet clover",0,0,0,0,0,0,0,10
