"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,1,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",100,30,130,80,40,20,30,60,30,105
"ox eye sunflower",20,50,28,30,20,15,75,75,11,15
"smartweed",200,160,50,90,50,0,10,0,0,0
"common cinquefoil",0,10,50,30,20,5,0,5,10,20
"white clover",0,40,150,30,150,190,90,40,25,15
"yellow sweet clover",0,0,0,6,6,3,0,0,0,5
"marestail",0,0,0,1,0,0,0,0,0,0
"partridge pea",0,0,0,0,7,0,0,0,0,0
