"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",6,4,4,3,8,9,8,0,3,43
"yellow coneflower",30,20,10,20,60,0,0,0,0,0
"ox eye sunflower",60,20,10,45,70,5,10,0,8,1
"white clover",10,65,80,40,35,50,20,15,10,20
"red clover",5,1,1,0,0,0,0,8,2,0
"hoary vervain",1,6,8,0,0,2,0,0,0,0
"common mullein",3,1,1,3,2,0,0,0,4,2
"carolina horsenettle",0,0,4,1,0,0,8,0,0,0
"catnip",0,0,6,0,6,15,1,0,0,0
"black eyed susan",0,0,0,10,0,0,0,0,0,0
"prickly lettuce",0,0,0,3,0,0,1,41,7,0
"queen annes lace",0,0,0,8,0,0,0,4,0,0
"smartweed",0,0,0,0,0,7,0,0,0,0
"black medic",0,0,0,0,0,0,35,10,15,10
"yellow wood sorrel",0,0,0,0,0,0,30,45,20,0
"partridge pea",0,0,0,0,0,0,0,2,1,1
