"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",4,0,0,0,0,0,0,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,1,0,1,0
"yellow coneflower",5,0,0,5,3,0,0,5
"red clover",20,15,15,8,1,1,3,12
"musk thistle",0,3,0,2,0,0,0,0
"ox eye sunflower",0,4,11,0,0,1,11,9
"yellow sweet clover",0,1,0,0,0,0,0,0
"common evening primrose",0,2,3,1,0,0,0,0
"partridge pea",0,3,8,1,1,0,5,2
"eastern daisy fleabane",0,0,1,0,0,0,0,0
"pale purple coneflower",0,0,0,1,0,0,4,4
"common mullein",0,0,0,0,0,1,0,0
"whorled milkweed",0,0,0,0,0,0,5,0
