"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,1,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"queen annes lace",160,10,95,140,160,250,150,290,130,140
"ox eye sunflower",1,5,2,0,7,2,0,1,0,10
"red clover",5,0,0,70,10,5,0,10,0,0
"eastern daisy fleabane",15,25,70,20,30,10,10,20,20,10
"prickly lettuce",10,7,0,2,0,0,160,80,75,20
"marestail",0,20,0,0,0,0,0,0,0,0
"black eyed susan",0,1,0,0,2,0,5,0,0,0
"yellow sweet clover",0,0,2,0,0,2,0,0,0,0
"tall thistle",0,0,0,0,2,0,5,0,10,0
"deptford pink",0,0,0,0,30,2,1,5,1,2
"bull thistle",0,0,0,0,0,0,0,0,2,0
"yellow coneflower",0,0,0,0,0,0,0,0,0,3
