"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",0,0,33,5,5,100,90,20,50,37
"ox eye sunflower",0,3,13,2,0,8,0,8,23,14
"black eyed susan",4,0,12,35,35,12,10,10,0,3
"partridge pea",0,4,2,3,16,1,0,0,0,0
"marestail",0,5,70,30,10,0,1,0,0,0
"blue vervain",0,0,3,0,0,0,20,0,0,0
"bull thistle",0,0,0,0,5,0,0,0,0,0
"hoary vervain",0,0,0,0,0,5,0,0,0,0
"yellow sweet clover",0,0,0,0,0,0,0,0,5,0
"prickly lettuce",0,0,0,0,0,0,0,0,3,0
