"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,1,2,0,0,0,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"alfalfa",8,5,0,0,0,0,0,5,5,9
"golden alexanders",21,42,32,46,50,30,30,40,7,0
"foxglove beardtongue",0,13,96,84,22,0,15,40,70,25
"white colver",9,42,142,63,20,115,70,45,74,110
"red colver",0,12,7,25,0,3,50,6,10,57
"corn speedwell",0,11,0,0,0,0,0,0,0,0
"common dandelion",0,0,1,2,0,0,0,1,0,0
"musk thistle",0,0,0,0,0,0,0,0,0,1
