"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,1,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild parsnip",2,0,0,2,3,91,21,30,29,0
"ox eye daisy",25,0,0,0,0,0,0,0,0,0
"foxglove beardtongue",165,20,45,70,20,25,30,85,35,0
"red clover",23,0,8,5,1,13,5,0,16,0
"common yarrow",10,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",1,12,17,26,15,0,6,17,41,13
"yellow sweet clover",0,5,0,0,0,0,0,0,0,0
"white colver",0,3,0,5,0,2,15,2,5,0
"deptford pink",0,0,0,1,0,0,1,0,0,1
"common dandelion",0,0,0,1,0,1,0,0,0,0
"sulphur cinquefoil",0,0,0,0,2,0,8,1,2,1
"corn speedwell",0,0,0,0,0,2,0,2,1,0
"ox eye sunflower",0,0,0,0,0,0,0,0,2,0
"birdsfoot trefoil",0,0,0,0,0,0,0,0,0,4
