"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,1,0,0,0,2,1,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild bergamot",245,250,30,48,85,90,71,85,10,195
"alfalfa",1,0,0,0,0,0,0,3,0,2
"yellow coneflower",5,0,0,0,0,0,0,0,1,0
"canada thistle",45,140,5,5,0,0,0,0,0,0
"ox eye sunflower",4,50,31,26,53,36,15,18,0,20
"red clover",5,39,100,38,9,2,14,10,0,15
"wild cucumber",0,2,0,0,0,0,0,0,0,0
"white clover",0,0,25,10,0,20,95,15,105,10
"virginia mountain mint",0,0,25,0,0,0,0,0,0,0
"common dandelion",0,0,0,0,0,0,0,0,1,0
