"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",0,0,1,0,0,0,0
"swamp milkweed ramet",5,5,4,0,0,0,0
"butterfly milkweed ramet",0,1,2,0,0,0,0
"canada thistle",61,0,0,3,38,160,70
"wild bergamot",32,15,10,32,5,10,0
"red clover",0,0,0,10,0,0,0
"ox eye sunflower",5,16,4,1,4,3,0
"pale purple coneflower",0,1,3,0,0,0,0
"hoary vervain",0,1,0,0,1,0,0
"yellow cone flower",0,2,0,0,0,0,0
"foxglove beardtongue",0,4,1,1,1,2,0
"white clover",0,5,15,0,0,0,0
"brown eyed susan",0,0,0,1,0,0,0
"prairie cinquefoil",0,0,0,2,0,0,7
