"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,1,1,0,1,0,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild bergamot",80,85,40,45,75,70,65,20,140,15
"ox eye sunflower",10,65,30,10,10,15,20,40,15,35
"musk thistle",0,0,0,0,0,0,0,35,0,0
"canada thistle",1,13,3,0,20,2,32,40,0,0
"white clover",0,10,3,0,0,0,0,0,0,0
"common cinquefoil",0,0,2,8,5,0,0,0,0,0
"hoary vervain",0,0,0,0,5,4,0,0,0,1
"yellow coneflower",0,0,0,0,0,0,0,0,1,0
