"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild bergamot",108,135,80,115,155,130,110,30,4,63
"ox eye sunflower",0,21,35,3,10,43,10,6,1,2
"hoary vervain",3,0,0,0,0,0,0,0,0,0
"yellow coneflower",2,0,0,0,0,3,0,0,0,0
"white clover",5,0,0,0,30,0,0,0,0,0
"catnip",0,0,0,80,0,0,0,0,0,0
"canada thistle",0,0,0,0,0,0,1,0,0,0
"rough cinquefoil",0,0,0,0,0,0,1,0,0,15
