"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"wild parsnip",15,0,0,0,0,0,0,0,0,0
"ox eye sunflower",2,1,0,0,9,1,2,4,1,3
"wild bergamot",12,0,2,0,16,43,45,21,40,25
"wild mustard",8,0,0,0,0,0,0,0,0,0
"canada thistle",0,0,2,0,0,0,0,0,0,0
"hoary vervain",0,0,20,0,0,0,0,0,1,0
"white clover",2,0,0,0,0,0,0,0,0,0
"carolina horsenettle",0,0,0,0,2,0,0,0,0,0
"canada milk vetch",0,0,0,0,4,0,0,0,18,5
"yellow coneflower",0,0,0,0,0,0,0,2,0,9
