"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",13,20,19,5,15,21,16,15,3,6
"eastern daisy fleabane",5,0,0,0,2,1,1,0,0,1
"red clover",8,0,0,0,1,23,2,2,2,0
"queen annes lace",1,1,0,16,12,27,8,18,8,0
"ox eye sunflower",2,0,0,0,2,7,2,12,3,8
"whorled milkweed",0,0,1,0,0,0,0,0,0,0
"white clover",0,0,0,0,1,0,0,0,0,0
"virginia mountain mint",0,0,0,0,1,0,0,0,0,0
"birdsfoot trefoil",0,0,0,0,0,0,0,0,0,20
"black eyed susan",0,0,0,0,0,0,0,0,0,1
