"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",250,220,140,245,70,140,90,90,165,150
"hoary vervain",2,0,0,0,0,0,0,10,0,0
"white vervain",55,130,170,150,280,0,50,0,0,0
"ox eye sunflower",11,52,35,60,61,0,0,0,30,1
"birdsfoot trefoil",0,8,0,0,100,0,0,0,0,0
"ironweed",0,1,0,0,0,1,0,0,0,0
"red clover",0,0,0,0,1,0,0,0,1,1
"carolina horsenettle",0,0,0,0,0,2,0,0,0,0
"smartweed",0,0,0,0,0,110,280,0,0,55
"lanceleaf fogfruit",0,0,0,0,0,0,0,20,0,0
"queen annes lace",0,0,0,0,0,0,0,20,0,0
"black eyed susan",0,0,0,0,0,0,0,1,0,0
"canada goldenrod",0,0,0,0,0,0,0,0,10,0
