"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,3,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",150,325,195,250,365,205,120,145,195,200
"ox eye sunflower",30,90,70,65,60,55,30,55,0,70
"alfalfa",45,0,0,0,0,2,0,0,0,0
"canada thistle",0,16,0,0,0,0,0,0,0,0
"red clover",0,7,25,34,20,60,45,25,61,75
"ironweed",0,0,0,1,0,0,0,0,0,0
"white clover",0,0,0,0,0,0,5,0,0,0
"wild bergamot",0,0,0,0,0,0,0,0,0,15
