"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,3,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"yellow coneflower",40,125,150,47,250,155,55,12,110,90
"wild bergamot",0,0,0,0,0,0,0,0,0,0
"partridge pea",0,9,2,2,1,0,2,0,0,0
"ox eye sunflower",0,7,0,0,5,5,2,0,10,0
"hoary vervain",0,0,0,5,1,18,6,1,10,1
"maximilian sunflower",5,0,0,0,0,0,0,0,0,0
"canada thistle",0,0,0,0,1,0,0,0,0,0
"virginia mountain mint",0,0,0,0,0,2,0,0,0,0
"blue vervain",0,0,0,0,0,5,0,0,0,0
