Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,3,6,5,2,7,8,2,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
ox eye sunflower,225,195,220,260,90,145,105,240,90,130
yellow coneflower,400,320,135,250,0,50,40,240,300,360
wild bergamot,50,80,40,20,0,30,0,120,50,50
canada thistle,0,0,0,10,0,0,0,0,0,0
red clover,0,0,0,5,0,3,2,5,5,0
hoary vervain,0,0,0,0,0,0,0,0,2,0
alfalfa,0,0,0,0,0,0,0,0,20,5
