Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,6,4,0,0,2,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
stiff goldenrod,140,110,150,30,0,0,30,55,0,80
new england aster,50,115,0,75,0,0,0,90,30,80
tall boneset,110,100,130,30,35,120,50,190,185,110
jerusalem artichoke,57,80,45,26,30,125,95,60,75,50
canada goldenrod,50,45,0,0,0,0,0,0,50,0
red clover,2,5,0,0,0,10,0,45,10,0
white heath aster,0,0,100,0,50,0,0,70,30,0
gray headed coneflower,0,0,5,2,0,15,0,0,0,0
ox eye sunflower,0,0,0,5,0,0,0,40,0,0
canada thistle,0,0,0,0,7,0,0,0,0,0
bull thistle,0,0,0,0,0,0,0,30,20,0
sawtooth sunflower,0,0,0,0,0,0,0,0,5,40
frost aster ,0,15,0,0,10,0,0,0,0,0
