Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,1,0,8,2
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
stiff goldenrod,110,85,50,137,105,50,75,130,0,0
new england aster,14,0,6,0,0,0,0,0,0,0
white heath aster,0,0,0,60,30,0,0,0,0,0
canada goldenrod,15,12,0,0,0,0,50,125,75,15
tall boneset,0,40,60,110,180,20,20,50,0,0
bull thistle,0,0,0,0,0,0,0,5,0,0
partridge pea,0,0,0,0,0,0,0,5,0,10
frost aster,4,0,0,0,0,5,0,15,0,5
