Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
wild bergamot,110,21,24,62,0,31,8,23,4,19
blue vervain,1,0,0,0,0,0,0,0,0,0
ox eye sunflower,1,10,1,1,7,18,5,6,3,3
wild parsnip,1,0,0,0,4,0,0,19,0,0
alfalfa,1,6,0,60,0,0,2,0,0,20
red clover,6,0,0,0,0,6,0,0,0,0
yellow coneflower,0,0,4,2,0,0,0,0,4,0
canada thistle,0,0,0,0,13,0,0,0,0,0
prairie cinquefoil,0,0,0,0,0,0,2,0,0,0
