Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m,
common milkweed ramet,2,0,2,3,5,1,1,7,4,0,
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0,
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0,
wild bergamont,262,145,23,23,70,126,78,186,125,0,
ox eye sunflower,37,35,8,4,11,4,6,8,2,0,
canada thistle,10,16,2,0,0,0,0,0,0,0,
hoary vervain,0,3,7,0,0,0,6,0,0,0,
white sweet clover,0,0,104,0,100,0,0,0,0,0,
virginia mountain mint,0,0,0,4,0,82,0,0,105,0,
pale purple coneflower,0,0,0,3,0,0,0,0,0,0,is it pale or eastern?
new england aster,0,0,0,0,4,0,0,0,0,0,
queen annes lace,0,0,0,0,0,1,3,0,0,0,
