Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,1,0,0,1,16
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,2,0,0,0,0
sawtooth sunflower ,100,8,6,0,0
yellow coneflower,58,115,174,91,243
ox eye sunflower,12,0,1,3,102
wild bergamot,12,47,3,1,52
red clover,188,148,385,55,4
white sweet clover,435,120,0,0,0
hoary vervain,5,0,0,0,1
butterfly milkweed,4,0,0,0,0
black eyed susan,2,1,0,2,1
purple prairie clover,0,30,0,0,0
white clover,0,58,70,180,75
eastern daisy fleabane,0,0,25,0,0
alfalfa,0,0,0,20,0
canada thistle,0,0,0,5,0
