Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,0,0,0,1,3,0
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
yellow coneflower,5,77,70,75,99,43,11
purple prairie clover,0,0,0,4,0,0,0
virginia mountain mint,3,0,0,0,0,0,0
prostrate vervain,29,14,0,0,0,0,0
white clover,3,0,0,0,0,0,0
wild bergamot,0,21,19,91,128,33,20
ox eye sunflower,0,0,21,7,0,0,0
red clover,0,0,0,21,17,0,0
eastern daisy fleabane,0,0,0,6,0,0,0
canada anemone,0,0,0,4,0,0,0
white sweet clover,0,0,0,18,365,0,6
hoary vervain,0,0,0,1,0,0,0
pale purple coneflower,0,0,0,0,0,14,1
