Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0
wild bergamot,4,0,0,18,4,0
birdsfoot trefoil,100,0,0,0,0,0
red clover,13,30,53,28,29,23
yellow coneflower,11,8,11,29,22,8
queen annes lace,2,22,23,29,47,5
white sweet clover,0,0,100,0,0,0
ox eye sunflower,0,0,0,1,1,2
purple prairie clover,0,0,0,5,0,0
rough cinquefoil,0,0,0,3,0,0
yellow sweet clover,0,0,0,7,0,0
compass plant,0,0,0,0,3,0
